Employee_ID,Age,Gender,City,Education_Level,Department,Experience_Years,Monthly_Salary,Projects_Completed,Training_Hours,Certifications,Work_Life_Balance,Job_Satisfaction,Manager_Rating,Overtime_Hours,Commute_Time_Min,Laptop_Issue_Count,Cafeteria_Rating,Internet_Stability,Last_Promotion_Years,Absenteeism_Days,Performance_Category
10001,49,Male,Bengaluru,Post Graduate,Sales,,,15,20,1,2,3,3.2,43,11,3,1,Good,2.1,1,Average Performer
10002,35,Female,Bengaluru,Post Graduate,Analytics,0.8,129555,15,163,0,5,4,2.3,43,128,6,5,Average,0.8,18,Low Performer
10003,28,Female,,Graduate,Finance,12.7,55760,,213,1,3,1,4.2,50,34,1,4,Poor,1.3,12,Average Performer
10004,41,Male,Hyderabad,Graduate,Sales,4.9,128174,,209,5,1,2,4.5,78,168,7,5,Good,4.2,11,Average Performer
10005,39,Male,,Graduate,Sales,1.2,145192,5,117,0,,3,4.2,20,117,9,2,Excellent,2.5,24,Low Performer
10006,43,Male,Kolkata,Diploma,HR,7.6,47024,26,182,,2,5,2.7,36,94,3,2,Average,0.3,20,Average Performer
10007,,Male,Bengaluru,Graduate,IT,16.9,41202,,213,,5,5,4.9,27,,8,1,,3.6,,Average Performer
10008,31,Female,Mumbai,Graduate,Finance,,137414,16,128,1,5,3,2.1,31,127,13,3,Good,6,12,Low Performer
10009,44,Male,Bengaluru,Post Graduate,IT,10.8,69524,35,19,0,,5,3,56,110,0,5,Poor,7.1,14,Average Performer
10010,56,Female,Hyderabad,,Operations,9.3,,38,49,5,1,3,2.8,40,161,6,4,Good,,1,Average Performer
10011,,Female,Kolkata,Graduate,Operations,15.8,122755,,,3,3,2,2.1,53,96,0,3,Average,5.8,7,Average Performer
10012,23,Male,Pune,Graduate,Finance,2,33993,13,111,4,1,5,,,97,10,5,Poor,2.9,2,Low Performer
10013,42,Female,Kolkata,Post Graduate,Analytics,12.4,32620,33,,2,1,2,3.9,73,138,,5,Average,4,0,Average Performer
10014,22,Male,Mumbai,Post Graduate,Operations,12.4,141271,29,,0,4,4,4.6,39,116,10,3,Excellent,5.8,23,High Performer
10015,44,Female,Bengaluru,,HR,12.2,38193,34,42,,3,4,5,40,55,8,3,Poor,5.8,10,High Performer
10016,,Female,Bengaluru,,Analytics,17,69559,34,,3,2,4,4.4,,84,13,1,Good,3.4,8,High Performer
10017,22,Female,Delhi,Diploma,Sales,14.9,39248,27,202,4,5,,3.4,23,114,11,4,Excellent,4.3,23,Average Performer
10018,41,Female,Chennai,Graduate,Operations,1.2,81410,15,196,,4,5,4.2,17,42,9,4,Excellent,7.4,16,Low Performer
10019,53,Male,Mumbai,Graduate,HR,8.7,22260,9,11,2,2,3,4.5,73,26,11,4,Good,5.1,6,Average Performer
10020,32,Male,,Graduate,Sales,7.5,55596,26,48,0,3,5,3.4,55,94,12,3,Excellent,5.1,22,Average Performer
10021,42,Female,Kolkata,Post Graduate,Analytics,5.9,27012,3,11,5,,,4.4,14,172,9,1,Average,6.3,,Low Performer
10022,45,Male,Pune,Post Graduate,Finance,8.4,43823,36,198,3,,2,3.4,71,139,11,2,Good,0.9,12,Average Performer
10023,47,Male,Chennai,Graduate,Sales,7.2,91851,5,,2,3,3,3.2,34,114,0,1,Excellent,4.2,23,Low Performer
10024,48,Male,Mumbai,Post Graduate,,,65027,20,,3,4,,3.6,26,172,2,3,Poor,7.7,4,Average Performer
10025,36,Female,Bengaluru,,Finance,17.6,101794,20,93,4,2,1,4,2,111,11,1,Good,2.9,11,Average Performer
10026,35,Male,Kolkata,Graduate,Finance,2.1,43099,,,3,4,3,4.2,20,128,6,3,Good,2.4,19,Low Performer
10027,23,Female,Mumbai,Post Graduate,Analytics,16.6,119427,10,112,,2,1,3.1,38,28,13,5,Excellent,4.8,4,Average Performer
10028,57,Other,Bengaluru,Graduate,Analytics,8.9,54992,16,139,,4,3,3.7,31,45,12,5,Good,1.8,10,Average Performer
10029,27,Male,Chennai,Post Graduate,HR,11.4,137942,25,71,4,5,,4.7,49,55,0,2,Good,4.4,1,Low Performer
10030,41,Male,Bengaluru,Graduate,HR,15,135886,25,97,2,1,2,4.9,8,171,14,5,Good,1.2,3,High Performer
10031,29,Male,Pune,Post Graduate,IT,6.8,27218,30,142,0,1,5,2.7,49,106,4,2,Good,4.6,9,Average Performer
10032,38,,Kolkata,Graduate,Finance,,39788,14,193,4,1,1,2.6,0,118,5,4,Good,4.8,,Low Performer
